wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
10,40,quad_repeated,0.25,REDUNDANCY_ONLY,34,9,0.0013854679802955665,0.0020263424518743856,0.2222222222222222,0.928690493106842
10,40,quad_repeated,0.25,CRITICAL_RANK_AWARE,34,9,0.0013854679802955665,0.006079027355623046,0.6666666666666666,0.9188067317008972
10,40,quad_repeated,0.5,RANDOM_MATCHED,34,17,0.0026169950738916255,0.0020263424518743856,0.11764705882352941,0.9187129139900208
10,40,quad_repeated,0.5,REDUNDANCY_ONLY,34,17,0.0026169950738916255,0.003039513677811523,0.17647058823529413,0.9188067317008972
10,40,quad_repeated,0.5,CRITICAL_RANK_AWARE,34,17,0.0026169950738916255,0.006079027355623046,0.35294117647058826,0.9188067317008972
10,40,quad_repeated,0.75,RANDOM_MATCHED,34,26,0.0040024630541871924,0.004052684903748771,0.15384615384615385,0.9187129139900208
10,40,quad_repeated,0.75,REDUNDANCY_ONLY,34,26,0.0040024630541871924,0.005065856129685908,0.19230769230769232,0.9187597930431366
10,40,quad_repeated,0.75,CRITICAL_RANK_AWARE,34,26,0.0040024630541871924,0.006079027355623046,0.23076923076923078,0.9187597930431366
10,40,quad_repeated,1.0,RANDOM_MATCHED,34,34,0.005233990147783251,0.006079027355623046,0.17647058823529413,0.9187129139900208
10,40,quad_repeated,1.0,REDUNDANCY_ONLY,34,34,0.005233990147783251,0.006079027355623046,0.17647058823529413,0.9187129139900208
10,40,quad_repeated,1.0,CRITICAL_RANK_AWARE,34,34,0.005233990147783251,0.006079027355623046,0.17647058823529413,0.9187129139900208
11,16,quad_fine,0.25,RANDOM_MATCHED,32,8,0.0014005602240896359,0.0029268292682926855,0.375,0.9003173112869263
11,16,quad_fine,0.25,REDUNDANCY_ONLY,32,8,0.0014005602240896359,0.0039024390243902474,0.5,0.9186351299285889
11,16,quad_fine,0.25,CRITICAL_RANK_AWARE,32,8,0.0014005602240896359,0.007804878048780495,1.0,0.9075247943401337
11,16,quad_fine,0.5,RANDOM_MATCHED,32,16,0.0028011204481792717,0.005853658536585371,0.375,0.9075247347354889
11,16,quad_fine,0.5,REDUNDANCY_ONLY,32,16,0.0028011204481792717,0.006829268292682933,0.4375,0.9112853407859802
11,16,quad_fine,0.5,CRITICAL_RANK_AWARE,32,16,0.0028011204481792717,0.013658536585365866,0.875,0.9037642478942871
11,16,quad_fine,0.75,RANDOM_MATCHED,32,24,0.004201680672268907,0.008780487804878057,0.375,0.9037642478942871
11,16,quad_fine,0.75,REDUNDANCY_ONLY,32,24,0.004201680672268907,0.009756097560975618,0.4166666666666667,0.9075247347354889
11,16,quad_fine,0.75,CRITICAL_RANK_AWARE,32,24,0.004201680672268907,0.013658536585365866,0.5833333333333334,0.9075247347354889
11,16,quad_fine,1.0,RANDOM_MATCHED,32,32,0.0056022408963585435,0.013658536585365866,0.4375,0.9037642478942871
11,16,quad_fine,1.0,REDUNDANCY_ONLY,32,32,0.0056022408963585435,0.013658536585365866,0.4375,0.9037642478942871
11,16,quad_fine,1.0,CRITICAL_RANK_AWARE,32,32,0.0056022408963585435,0.013658536585365866,0.4375,0.9037642478942871
11,24,quad_fine,0.25,RANDOM_MATCHED,23,6,0.0010504201680672268,0.0,0.0,0.9519883990287781
