M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.22801747678864,0.8745279908180237,1.0408725795705915,8.0,47,3662,0.9124639928340912,2.362452757358551,decode,8.0,2.255434782608696,2.6003040075302124,1.2685955904611488,8.0,online_trace_long_c8,263.51360047509473,197.3379965912748
114,33.0,3.982456140350877,0.9231359958648682,1.050762808520432,912.0,0,30,0.9952960014343262,2.5716815710067746,prefill,33.0,3.9824561403508776,6.331568002700806,1.5184729092472535,912.0,online_trace_long_c8,588.4677493686594,585.8759739688218
137,122.0,3.5474452554744524,0.9568800032138824,1.0654824445862392,1096.0,0,32,1.0644960403442383,3.4528703451156617,prefill,122.0,3.5474452554744524,21.304096698760986,1.254273965806114,1096.0,online_trace_long_c8,2106.4208478695614,2126.4125728602794
193,123.5,3.6269430051813467,0.9668480157852173,1.0549622991232335,1544.0,0,30,1.0358240008354187,5.2078559398651105,prefill,123.5,3.626943005181347,14.862575769424438,1.674147443187659,1544.0,online_trace_long_c8,1435.454358201103,1437.2194519465972
284,32.0,3.996478873239437,0.9207360148429871,1.044620396347846,2272.0,0,60,0.9547039866447449,2.6711279273033144,prefill,32.0,3.996478873239436,3.869472026824951,1.3390150699013617,2272.0,online_trace_long_c8,324.3979267631685,320.2585718862761
411,128.0,3.547445255474452,1.0038399696350098,1.067810125900167,3288.0,0,30,1.1366559863090515,3.185422444343567,prefill,128.0,3.547445255474453,5.439104080200195,1.397851249722307,3288.0,online_trace_long_c8,432.16364549401726,441.8297980477309
444,127.5,3.6936936936936946,1.0212160348892212,1.0630150689246307,3552.0,0,30,1.2808319926261902,3.5823424696922275,prefill,127.5,3.6936936936936937,6.335567951202393,1.5182722786659257,3552.0,online_trace_long_c8,482.9682107965485,520.3944840999734
535,87.0,3.878504672897195,1.0295360088348389,1.0314597875590574,4280.0,0,30,1.1197440028190613,5.4933246254920824,prefill,87.0,3.878504672897196,7.954047918319702,1.3446869741745404,4280.0,online_trace_long_c8,673.7336477921136,672.5856939491455
114,32.0,3.0219298245614037,0.8954240083694458,1.0321600146276004,912.0,1,30,0.9221439957618713,2.662488007545471,prefill,32.0,3.0219298245614032,2.7380000352859497,1.3148183703233418,912.0,online_trace_long_c8,210.60100644597813,205.77692910755772
137,122.0,3.5364963503649633,0.927839994430542,1.0494080764938114,1096.0,1,32,1.0117759704589844,3.4849039554595946,prefill,122.0,3.5364963503649633,3.7989760637283325,1.1922241394719157,1096.0,online_trace_long_c8,313.87329531523136,309.44301674092463
