scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,41,P_T_load,text,vision,modality_greedy_load+swap,15929,127432,3.6763764203653713,4.0,4.0,0.6881787933956934,0.988197626969678,34777,31858.0,0.07738993317695395,1.0916253374348672,3,42632.0
layer,41,P_T_load,text,text,modality_greedy_load+swap,15930,127440,3.698618957940992,4.0,4.0,0.7076585059635907,0.9909604519774011,31861,31860.0,2.2194186477920512e-05,1.000031387319523,2,42989.0
layer,41,P_V_sat,vision,all,modality_coactivation_surrogate+swap,31859,254872,3.192347531309834,3.0,4.0,0.346589660692426,0.8554882450798832,96930,63718.0,0.3575019128262956,1.5212341881414986,0,69846.0
layer,41,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15929,127432,3.0056500721953667,3.0,4.0,0.24326699730052107,0.7790821771611526,59462,31858.0,0.592162614663803,1.8664699604494945,0,31948.0
layer,41,P_V_sat,vision,text,modality_coactivation_surrogate+swap,15930,127440,3.3790332705586943,3.0,4.0,0.44990583804143125,0.9318895166352793,37468,31860.0,0.12562153640970383,1.1760200878844946,0,37898.0
layer,41,P_T_sat,text,all,modality_coactivation_surrogate+swap,31859,254872,2.889983991964594,3.0,4.0,0.26083681220377286,0.6817225901629053,116249,63718.0,0.5043849702046709,1.8244295175617564,0,60213.0
layer,41,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15929,127432,3.3724653148345785,3.0,4.0,0.46129700546173646,0.9126122167116579,35139,31858.0,0.0642457297197021,1.1029882604055496,0,37791.0
layer,41,P_T_sat,text,text,modality_coactivation_surrogate+swap,15930,127440,2.407532956685499,2.0,3.0,0.06038920276208412,0.45084745762711864,81110,31860.0,0.9544428737353347,2.5458254865034524,0,22422.0
layer,42,P0,all,all,fixed_linear,31859,254872,3.7009636209548322,4.0,4.0,0.7117925860824257,0.9892024231771243,70982,63718.0,0.08331842426263461,1.114002322734549,1,86050.0
layer,42,P0,all,vision,fixed_linear,15929,127432,3.6473727164291545,4.0,4.0,0.6611212254378805,0.9863142695712223,37586,31858.0,0.11627534689402294,1.1797978529725657,1,42170.0
layer,42,P0,all,text,fixed_linear,15930,127440,3.7545511613308222,4.0,4.0,0.7624607658505964,0.992090395480226,34152,31860.0,0.10741094782402356,1.071939736346516,0,43880.0
layer,42,P_load,all,all,greedy_load+swap,31859,254872,3.7060799146238113,4.0,4.0,0.7165322200947927,0.9895790828337362,63723,63718.0,6.930350031645569e-05,1.0000784707617942,2,86213.0
layer,42,P_load,all,vision,greedy_load+swap,15929,127432,3.6853537572980097,4.0,4.0,0.6995417163663757,0.9858748195115826,34248,31858.0,0.04830773994476525,1.0750204030384833,3,42775.0
